Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-avg_gc
SEQ_RiboZero_HCC1395BL_5	49.9044	0.03	139427206.0								140641576.0	
SEQ_RiboZero_HCC1395BL_5_bamqc				17.599042685341512	3.7532368433505754	29.41215452280766	0	1.9150641583946881	166	11.59286244901194		44.417103915460835
SEQ_RiboZero_HCC1395BL_6	52.4967	0.03	139358800.0								140575922.0	
SEQ_RiboZero_HCC1395BL_6_bamqc				17.716647626243084	3.772222047437558	29.479389671360018	0	1.9219804242335852	166	11.689587904468388		44.39375152054488
SEQ_RiboZero_HCC1395_1	53.6616	0.03	135399492.0								136942648.0	
SEQ_RiboZero_HCC1395_1_bamqc				15.616910069218024	2.9060198769183736	28.002292699202787	0	1.562297500853422	170	9.615049696393038		46.87687054373184
SEQ_RiboZero_HCC1395_2	52.3066	0.03	129680262.0								130664002.0	
SEQ_RiboZero_HCC1395_2_bamqc				15.433459123728156	2.7623355485581342	27.83315806622873	0	1.483219625791857	168	9.387055846469522		46.68602100395806
SEQ_RiboZero_HCC1395_3	47.6003	0.03	118708156.0								120036996.0	
SEQ_RiboZero_HCC1395_3_bamqc				14.396929514639764	2.4562780341615844	26.81249753968119	0	1.3361763821680321	167	8.519506696667213		47.21858413268985
SEQ_RiboZero_HCC1395_4	58.9628	0.02	142241028.0								143083588.0	
SEQ_RiboZero_HCC1395_4_bamqc				16.17245603296284	3.086790316536673	28.53632709441637	0	1.6522075050294416	169	10.086669459721374		46.46231459286835
SEQ_RiboZero_HCC1395_5	51.4196	0.03	124595254.0								125657526.0	
SEQ_RiboZero_HCC1395_5_bamqc				14.822659297469352	2.596464468340515	27.33351169434264	0	1.4044919079199323	167	8.88161584740699		47.19222031853195
SEQ_RiboZero_HCC1395_6	47.6232	0.03	128260290.0								128987718.0	
SEQ_RiboZero_HCC1395_6_bamqc				15.242794469126082	2.7120390201648465	27.689190747370287	0	1.4567089778475535	165	9.229968117713652		46.69851700666093
